91,88
91,88
91,88
91,88
91,88
91,88
91,88
91,88
91,88
90,87
91,85
91,82
91,82
91,80
92,79
92,78
91,77
91,75
91,73
91,73
91,73
91,72
90,71
89,71
89,71
89,70
89,69
88,67
88,66
87,65
86,65
86,65
85,63
84,63
83,61
83,61
82,59
81,58
80,57
80,57
78,56
78,55
78,54
78,54
77,54
77,54
77,54
77,54
77,54
77,54
77,54
77,54
77,55
77,56
77,56
77,56
77,56
77,57
77,57
77,57
76,57
75,59
73,60
72,61
71,61
71,62
68,64
67,65
66,66
65,67
64,68
62,69
62,69
60,70
59,70
58,71
57,71
57,71
57,71
56,71
56,70
56,70
55,69
55,68
55,67
55,66
54,65
54,65
54,65
55,64
55,64
55,64
55,63
55,63
56,61
57,56
58,53
58,52
58,51
58,51
58,51
58,51
58,51
58,51
58,51
58,51
58,51
58,51
58,51
58,51
59,51
59,51
59,51
59,51
59,51
59,51
58,51
58,51
58,51
58,51
58,51
58,51
58,51
58,51
57,51
56,50
56,49
56,49
55,49
54,49
52,49
52,49
52,49
51,49
51,49
51,49
50,49
49,49
47,49
45,50
44,50
43,50
41,50
41,51
39,51
38,51
37,52
36,52
35,53
34,53
34,53
32,54
31,54
31,54
29,54
29,55
29,55
28,55
28,55
28,55
28,55
28,55
28,55
28,55
28,55
27,55
27,55
27,55
27,55
27,55
27,55
27,55
27,55
27,55
27,55
27,55
27,55
